City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
218,Hilo,19.7297,-155.09,78.53,78,90,8.05,US,overcast clouds
219,Turukhansk,65.8167,87.9833,-15.0,89,75,7.92,RU,broken clouds
220,Dalbandin,28.8947,64.4101,45.27,38,0,6.6,PK,clear sky
221,Boa Vista,2.8197,-60.6733,84.18,61,0,8.05,BR,clear sky
222,Butajira,8.1167,38.3667,56.08,50,6,2.53,ET,clear sky
223,Bathsheba,13.2167,-59.5167,79.02,77,33,12.95,BB,scattered clouds
224,Spokane,47.6166,-117.3677,36.07,94,90,0.0,US,light rain
225,Florina,40.782,21.4098,47.52,74,45,6.04,GR,scattered clouds
226,Komsomolskiy,40.4272,71.7189,26.02,80,0,4.61,UZ,mist
227,Ostersund,63.1792,14.6357,36.05,87,75,27.63,SE,broken clouds
228,Sur,22.5667,59.5289,73.18,57,0,6.04,OM,clear sky
229,Olinda,-8.0089,-34.8553,80.33,74,40,8.05,BR,scattered clouds
230,Ilulissat,69.2167,-51.1,14.02,41,100,3.44,GL,overcast clouds
231,Grand Gaube,-20.0064,57.6608,76.37,70,0,7.0,MU,clear sky
232,Srivardhan,18.0333,73.0167,78.31,83,100,4.94,IN,overcast clouds
233,Tigil,57.8,158.6667,17.82,88,29,3.91,RU,scattered clouds
234,Udachnyy,66.4167,112.4,-16.98,100,99,4.81,RU,overcast clouds
235,Wisconsin Rapids,44.3836,-89.8174,34.38,62,1,4.61,US,clear sky
236,Kavaratti,10.5669,72.642,82.06,73,65,17.49,IN,broken clouds
237,Lavrentiya,65.5833,-171.0,4.89,71,17,6.62,RU,few clouds
238,Yerbogachen,61.2767,108.0108,-10.62,100,54,3.31,RU,broken clouds
239,Saint-Joseph,-21.3667,55.6167,73.76,72,37,9.53,RE,scattered clouds
240,Camp Verde,34.5636,-111.8543,62.15,31,100,1.01,US,overcast clouds
241,Tripoli,32.8752,13.1875,66.69,63,98,6.89,LY,overcast clouds
242,Salta,-24.7859,-65.4117,71.89,60,75,1.99,AR,broken clouds
243,Karasburg,-28.0167,18.75,61.74,27,24,6.2,NA,few clouds
244,Tahta,26.7693,31.5021,61.12,61,0,9.01,EG,clear sky
245,Karratha,-20.7377,116.8463,90.81,25,18,6.2,AU,few clouds
246,Iquique,-20.2208,-70.1431,62.64,76,54,3.38,CL,broken clouds
247,Namibe,-15.1961,12.1522,70.61,68,30,7.85,AO,scattered clouds
248,Maniitsoq,65.4167,-52.9,25.29,56,100,19.84,GL,overcast clouds
249,Margherita,27.2833,95.6833,63.88,68,1,1.1,IN,clear sky
